Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
59722,CPD,73262,8551,GOLDSBORO,NC,27534,?,70002,SEARS FORMAT,GREENVILLE - CPDC,COMM SALES/CS NATL A,CS NATL ACCTS DIST,4/1/2011,4/1/2011,1/22/1992,ZISH TROCKI,316,COMMERCIAL PRD,Raleigh et al, NC,0,0,59722,CLOSED,5/15/2014 08:56:37,PNADIGE,9/18/2014 04:03:57,MOKSHA_PROD_BCH,,
4080,DIO,74419,73419,SAN ANTONIO,TX,78233,?,70002,SEARS FORMAT,SAN ANTONIO,TX,RHDPR     /   HOME D,SOUTHERN TERRITORY,1/1/1900,1/1/1900,12/29/1996,SOUTHERN DISTRICT,1,INSTALLATION OFFICES,San Antonio, TX,0,0,4080,OPEN,8/12/2015 08:42:14,MOKSHA_PROD_BCH,4/2/2016 08:27:13,MAPMPS_PROD_BCH,
4540,GRD,79297,78297,MENOMONEE FALLS,WI,53051,4306,70002,SEARS FORMAT,MENOMONEE FLS - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,3/1/2009,3/1/2009,4/25/2006,D297 CLOSED FLS D,1,SEARS GRANDS,Milwaukee, WI,43.1542,-88.1074,9457,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1564,FLS,79231,78181,NILES,OH,44446,?,70002,SEARS FORMAT,NILES - A,NORTHEAST /FLS - REG,NORTHEAST,1/1/1900,1/1/1900,9/30/1968,PITTSBURGH 181,1,FULL LINE STORES,Youngstown, OH,41.2146,-80.7541,1564,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
2826,FLS,79231,78181,BRIDGEPORT,WV,26330,?,70002,SEARS FORMAT,BRIDGEPORT/CLARKSBRG - B,NORTHEAST /FLS - REG,NORTHEAST,1/1/1900,1/1/1900,8/17/1988,PITTSBURGH 181,1,FULL LINE STORES,Clarksburg-Weston, WV,39.3133,-80.2709,2826,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
32804,LES,74352,73352,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,LE RBG MONO,DISTRIBUTI/DIVISION,DISTRIBUTION RGN,6/16/2014,6/16/2014,5/1/2003,DISTRIBUTION DIST,701,LANDS END STORES,Chicago, IL,0,0,90550,CLOSED,5/15/2014 08:56:37,PNADIGE,7/6/2014 16:01:13,MOKSHA_PROD_BCH,,
4599,OUT,79034,78944,WOODBRIDGE,VA,22192,4658,70002,SEARS FORMAT,WOODBRIDGE,RETAIL OUT/FIELD ROL,EAST REGION-OUTLET,1/1/1900,1/1/1900,6/26/2004,RICHMOND-OUTLET,1,OUTLET STORES,Washington et al, DC-MD,38.6443,-77.2979,4599,OPEN,5/15/2014 08:56:37,PNADIGE,7/30/2016 11:46:00,MAPMPS_PROD_BCH,,
1295,FLS,79297,78297,ST PETERSBURG,FL,33710,3924,70002,SEARS FORMAT,ST PETERSBURG - A,CLOSED REG/   CLOSED,R9025 CLOSED REGI,1/1/1900,1/28/2017,6/19/1968,D297 CLOSED FLS D,1,FULL LINE STORES,Tampa et al, FL,27.7924,-82.7307,1295,CLOSING,5/15/2014 08:56:37,PNADIGE,11/16/2016 18:46:36,MAPMPS_PROD_BCH,,
36495,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,HO SUPPLY EXP PLAN,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,12/6/1994,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
4887,KMO,40509,40902,PORT ST LUCIE,FL,34986,2196,70001,KMART FORMAT,PORT ST LUCIE FL,SEARS ACCE/   -     ,RC WAVE 1 05 S. CONV,3/21/2009,3/21/2009,2/7/1994,DM WAVE1.1 05 S CONV,2,KMART NON STANDARD STORES,W. Palm Beach et al, FL,27.3161,-80.3888,?,CLOSED,5/15/2014 08:56:37,PNADIGE,7/18/2015 07:35:02,MOKSHA_PROD_BCH,,
