SHC_LOCN_NBR,NATL_NBR,SLL_FMT,VP_OVRHD_NBR,RGN_OVRHD_NBR,DM_OVRHD_NBR,LOCN_NBR,LOCN_LVL,FORMAT_TYPE,FORMAT_SUB_TYPE,STR_FMT,ORIG_FACILITY_NBR,ORIG_FACILITY_NBR_INT,AMMC_OVRHD_NBR,AMMC_MGR_NM,RPT_STR_NBR,LOCN_CTY,LOCN_ST_CD,ZIP_CD,ZIP_PLS_4,LOCN_OPN_DT,LOCN_CLS_DT,SHC_LOCN_DESC,NATL_DESC,SLL_FMT_DESC,VP_RGN_NM,RGN_MGR_NM,DM_MGR_NM,LOCN_NM,FMT_TYPE_MOD_CD,STR_TYPE_IND,CRM_FMT_SUB_TYPE,CLIM_ZN_NBR,MERCH_AREA_NBR,MERCH_AREA_NM,SRS_UNIT_LOCN_NBR,STR_OPER_CD,STR_OPER_DESC,LFSTY_CLS_CD,LOCN_CLS_CD
100000,70002,100,80231,79231,78141,2173,50,001,B ,FLS,0002173,2173,0,,2173,SARATOGA SPGS,NY,12866,2960,7/18/1990,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,NORTHEAST /FLS - REG,NORTHEAST,HARTFORD 141,SARATOGA - B,  ,E,B ,1,2,NORTH EAST,0,1,OPEN FOR PROFIT,0,0
100000,70002,100,80055,79055,78330,2243,50,001,D ,FLS,0002243,2243,0,,4729,CHICAGO,IL,60622,?,7/23/2006,12/13/2013,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,KSR REGION/   KSR RE,R9055 KSR REGION,KSR DISTRICT D330,CHICAGO - D,  ,E,DK,?,10,NORTH MIDWEST,0,6,CLOSED FOR PROFIT,0,0
100000,70002,100,80236,79236,78166,1358,50,001,A ,FLS,0001358,1358,0,,1358,CHULA VISTA,CA,91910,5307,2/22/1966,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,SOUTHWEST /FLS - REG,SOUTHWEST,SAN DIEGO 166,CHULA VISTA - A,  ,E,A ,3,19,COASTAL DESERT,0,1,OPEN FOR PROFIT,0,0
100000,70002,110,80297,79297,78297,2086,50,001,B ,FLS,0002086,2086,0,,2086,COLUMBUS,MS,39705,2129,9/2/1972,4/22/2012,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,CLOSED REG/   CLOSED,R9025 CLOSED REGI,D297 CLOSED FLS D,COLUMBUS-B,  ,?,B ,?,4,SOUTH,0,6,CLOSED FOR PROFIT,0,0
100000,70001,230,38353,40691,40683,9573,50,002,2B,KMB,       ,?,0,,9573,RHINELANDER,WI,54501,3619,10/30/1980,12/18/2005,SHC NATIONAL LOCATION,KMART FORMAT,KMART STORES,CLOSED STO/   -     ,2005 CLOSED RM,2005 CLOSED DM,RHINELANDER WI,  ,?,2B,?,9,ARCTIC,0,6,CLOSED FOR PROFIT,2,0
100000,70002,210,80820,79820,73630,28110,50,450,J ,APO,0028110,28110,0,,28110,RALEIGH,NC,27609,7894,11/27/2000,?,SHC NATIONAL LOCATION,SEARS FORMAT,TELESERVICE CENTERS,NORTH DIVI/PR REPAIR,R820 NORTH REGION,,HS - RALEIGH CAP AREA 95,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,260,75403,74403,73403,35652,50,999,  ,MSC,D702SLS,?,0,,35652,HOFFMAN EST,IL,60179,?,9/18/2002,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RSATO     /   SEGMEN,RSATO SEGMENTED A,DSATO SEGMENTED A,SLS ELIMINATIONS,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,100,80231,79231,78181,1293,50,001,A ,FLS,0001293,1293,0,,1293,PITTSBURGH,PA,15205,4828,10/20/2001,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,NORTHEAST /FLS - REG,NORTHEAST,PITTSBURGH 181,ROBINSON TWNSHP-A,  ,E,A ,1,2,NORTH EAST,0,1,OPEN FOR PROFIT,0,0
100000,70001,230,38368,40511,40908,9243,50,002,2B,KMB,       ,?,40717,D  HORN/NORTH WEST,9243,RED OAK,IA,51566,1011,8/9/1979,?,SHC NATIONAL LOCATION,KMART FORMAT,KMART STORES,NORTH WEST/M MCNERNE,M MCNERNEY/NORT WEST,K  TYBORSKI/OMAHA NE,RED OAK IA,  ,B,2B,1,10,NORTH MIDWEST,2084,1,OPEN FOR PROFIT,2,3
100000,70002,120,80072,79072,78540,6164,50,001,N1,SAC,0006164,6164,0,,1224,HARRISBURG,PA,17109,?,3/3/1960,?,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,NORTH EAST/SAC - REG,NORTH EAST REG 9072,NEW JERSEY 540,HARRISBURG-SAC,  ,?,N1,?,2,NORTH EAST,0,1,OPEN FOR PROFIT,0,0
