NatlDesc,LocnNbr,StrFmt,LocnCity,LocnStCd,LocnNm,LocnStat,OrigFacilNbr,CloseDT
KMART FORMAT,4867,KMB,SOUTHBURY,CT,SOUTHBURY CT,OPEN,,-2.2089888E9
KMART FORMAT,4868,KMB,RIVERHEAD,NY,RIVERHEAD NY,OPEN,,-2.2089888E9
KMART FORMAT,4870,KMB,CLERMONT,FL,CLERMONT FL,OPEN,,-2.2089888E9
KMART FORMAT,4871,KMB,FARMINGVILLE,NY,FARMINGVILLE NY,OPEN,,-2.2089888E9
KMART FORMAT,4874,KMB,FRANKLIN,PA,FRANKLIN PA,OPEN,,-2.2089888E9
KMART FORMAT,4875,KMB,WOOSTER,OH,WOOSTER OH,OPEN,,-2.2089888E9
KMART FORMAT,4886,KMB,PORT CHARLOTTE,FL,PORT CHARLOTTE FL,OPEN,,-2.2089888E9
KMART FORMAT,4888,KMA,MADISONVILLE,KY,MADISONVILLE KY,OPEN,,-2.2089888E9
KMART FORMAT,4889,KMA,GAFFNEY,SC,GAFFNEY SC,OPEN,,-2.2089888E9
KMART FORMAT,4893,KMB,ELLENTON,FL,ELLENTON FL,OPEN,,-2.2089888E9
KMART FORMAT,4895,KMO,IONIA,MI,IONIA MI,OPEN,,-2.2089888E9
KMART FORMAT,4896,KMA,LAKE WORTH,TX,LAKE WORTH TX,OPEN,,-2.2089888E9
KMART FORMAT,4897,KMB,MARTINSBURG,WV,MARTINSBURG WV,OPEN,,-2.2089888E9
KMART FORMAT,4902,KMC,FENTON,MI,FENTON MI,OPEN,,-2.2089888E9
KMART FORMAT,4905,KMC,BETHLEHEM,NY,BETHLEHEM NY,OPEN,,-2.2089888E9
KMART FORMAT,4907,KMC,WESTLAKE,OH,WESTLAKE OH,OPEN,,-2.2089888E9
KMART FORMAT,4909,KMC,SAN ANTONIO,TX,SAN ANTONIO TX,OPEN,,-2.2089888E9
KMART FORMAT,4910,KMC,MENTOR,OH,MENTOR OH,CLOSING,,-2.2089888E9
KMART FORMAT,4917,KMB,THORNTON,CO,THORNTON CO,CLOSING,,-2.2089888E9
KMART FORMAT,4928,KMB,QUEENSBURY,NY,QUEENSBURY NY,OPEN,,-2.2089888E9
KMART FORMAT,4932,KMC,LIVERMORE,CA,LIVERMORE CA,OPEN,,-2.2089888E9
KMART FORMAT,4937,KMB,CHILLICOTHE,OH,CHILLICOTHE OH,OPEN,,-2.2089888E9
KMART FORMAT,4939,KMC,WARREN,OH,WARREN OH,OPEN,,-2.2089888E9
KMART FORMAT,4942,KMC,FORT COLLINS,CO,FORT COLLINS CO,OPEN,,-2.2089888E9
KMART FORMAT,4945,KMC,MILPITAS,CA,MILPITAS CA,OPEN,,-2.2089888E9
KMART FORMAT,4953,KMB,NORTH CHARLESTON,SC,NORTH CHARLESTON SC,OPEN,,-2.2089888E9
KMART FORMAT,4961,KMB,BURLINGTON,NC,BURLINGTON NC,CLOSING,,-2.2089888E9
KMART FORMAT,4964,KMB,HILLSBORO,OH,HILLSBORO OH,OPEN,,-2.2089888E9
KMART FORMAT,4970,KMB,MEMPHIS,TN,MEMPHIS TN,CLOSING,,-2.2089888E9
KMART FORMAT,4972,KMB,LUBBOCK,TX,LUBBOCK TX,CLOSING,,-2.2089888E9
KMART FORMAT,4974,KMC,FARMINGTON HILLS,MI,FARMINGTON HILLS MI,OPEN,,-2.2089888E9
KMART FORMAT,4975,KMC,PASADENA,TX,PASADENA TX,OPEN,,-2.2089888E9
KMART FORMAT,4976,KMC,UNION,NY,UNION NY,OPEN,,-2.2089888E9
KMART FORMAT,4977,KMC,AURORA,CO,AURORA CO,OPEN,,-2.2089888E9
KMART FORMAT,4978,KMC,GLENDORA,CA,GLENDORA CA,OPEN,,-2.2089888E9
KMART FORMAT,4980,KMC,NEWINGTON,CT,NEWINGTON CT,OPEN,,-2.2089888E9
KMART FORMAT,4984,KMB,TINLEY PARK,IL,TINLEY PARK IL,CLOSING,,-2.2089888E9
KMART FORMAT,4985,KMC,VENTURA,CA,VENTURA CA,OPEN,,-2.2089888E9
KMART FORMAT,4987,KMB,CARSON,CA,CARSON CA,OPEN,,-2.2089888E9
KMART FORMAT,4988,KMB,NORFOLK,VA,NORFOLK VA,OPEN,,-2.2089888E9
KMART FORMAT,4993,KMC,LONG BEACH,CA,LONG BEACH CA,OPEN,,-2.2089888E9
KMART FORMAT,4996,KMB,TUCSON,AZ,TUCSON AZ,OPEN,,-2.2089888E9
KMART FORMAT,4998,KMB,ROSEVILLE,MI,ROSEVILLE MI,OPEN,,-2.2089888E9
KMART FORMAT,4999,KMC,TAYLOR,MI,TAYLOR MI,OPEN,,-2.2089888E9
KMART FORMAT,7000,KMB,GRAND JUNCTION,CO,GRAND JUNCTION CO,OPEN,,-2.2089888E9
KMART FORMAT,7003,KMB,MUSKOGEE,OK,MUSKOGEE OK,OPEN,,-2.2089888E9
KMART FORMAT,7006,KMB,TWIN FALLS,ID,TWIN FALLS ID,OPEN,,-2.2089888E9
KMART FORMAT,7010,KMB,STEVENS POINT,WI,STEVENS POINT WI,OPEN,,-2.2089888E9
KMART FORMAT,7014,KMB,MT PLEASANT,MI,MT PLEASANT MI,OPEN,,-2.2089888E9
KMART FORMAT,7016,KMB,HOBBS,NM,HOBBS NM,OPEN,,-2.2089888E9
KMART FORMAT,7017,KMB,ROSWELL,NM,ROSWELL NM,OPEN,,-2.2089888E9
KMART FORMAT,7018,KMB,JEFFERSON CITY,MO,JEFFERSON CITY MO,OPEN,,-2.2089888E9
KMART FORMAT,7021,KMB,CAPE GIRARDEAU,MO,CAPE GIRARDEAU MO,OPEN,,-2.2089888E9
KMART FORMAT,7023,KMB,ABERDEEN,SD,ABERDEEN SD,OPEN,,-2.2089888E9
KMART FORMAT,7024,KMB,SCOTTSBLUFF,NE,SCOTTSBLUFF NE,CLOSING,,-2.2089888E9
KMART FORMAT,7028,KMB,TIFTON,GA,TIFTON GA,OPEN,,-2.2089888E9
KMART FORMAT,7029,KMB,HELENA,MT,HELENA MT,OPEN,,-2.2089888E9
KMART FORMAT,7030,KMB,KALISPELL,MT,KALISPELL MT,OPEN,,-2.2089888E9
KMART FORMAT,7031,KMB,MENOMINEE,MI,MENOMINEE MI,OPEN,,-2.2089888E9
KMART FORMAT,7033,KMB,LEWISTON,ID,LEWISTON ID,OPEN,,-2.2089888E9
KMART FORMAT,7034,KMB,WALLA WALLA,WA,WALLA WALLA WA,OPEN,,-2.2089888E9
